MRR Site Info Code,MRR Site Info Name,MRR Site Info RKM Mask,MRR Site Type Name,MRR Site Subbasin Code,MRR Site Subbasin Name,MRR Site Latitude Value,MRR Site Longitude Value,MRR Site Name,MRR Site Basin Name
BIG2C,"Big Creek, Middle Fork Salmon River",522.303.319.029,River,17060206,Lower Middle Fork Salmon,45.15775882,-115.12014,"BIG2C - Big Creek, Middle Fork Salmon River",Salmon
BIG8MC,"Big Eightmile Creek, Lemhi River Basin",522.303.416.073,River,17060204,Lemhi,44.64511321,-113.527712,"BIG8MC - Big Eightmile Creek, Lemhi River Basin",Salmon
BIGB2C,"Big Bear Creek, Lemhi River Basin",522.303.416.092.019,River,17060204,Lemhi,44.66216063,-113.104946,"BIGB2C - Big Bear Creek, Lemhi River Basin",Salmon
BIGBEC,"Big Bear Creek, Potlatch River",522.224.024.023,River,17060306,Clearwater,46.73000696,-116.6211417,"BIGBEC - Big Bear Creek, Potlatch River",Clearwater
BIGC,Big Creek Hatchery (ODFW) near Knappa,43.006,Hatchery,17080006,Lower Columbia,46.145984,-123.580635,BIGC - Big Creek Hatchery (ODFW) near Knappa,Lower Columbia
BIGCAC,Big Canyon Creek,522.224.057,River,17060306,Clearwater,46.34426471,-116.4336131,BIGCAC - Big Canyon Creek,Clearwater
BIGFLC,Big Flat Creek,522.224.120.037.113.026,River,17060303,Lochsa,46.37075612,-114.4336375,BIGFLC - Big Flat Creek,Clearwater
BIGMAC,Big Mallard Creek,522.303.247,River,17060207,Middle Salmon-Chamberlain,45.63059739,-115.295919,BIGMAC - Big Mallard Creek,Salmon
BIGMEC,"Big Meadow Creek, Wenatchee River Basin",754.077.014,River,17020011,Wenatchee,47.8793364,-120.7653738,"BIGMEC - Big Meadow Creek, Wenatchee River Basin",Upper Columbia
BIGSPC,"Big Springs Creek, Lemhi River Basin",522.303.416.077,River,17060204,Lemhi,44.70845448,-113.4056972,"BIGSPC - Big Springs Creek, Lemhi River Basin",Salmon
BIGWSP,Big White Salmon Ponds,271.002,Acclimation Pond,17070105,Middle Columbia-Hood,45.748452,-121.520796,BIGWSP - Big White Salmon Ponds,Middle Columbia
BIRCHC,"Birch Creek, Umatilla River",465.077,River,17070103,Umatilla,45.57556648,-118.8070578,"BIRCHC - Birch Creek, Umatilla River",Middle Columbia
BIRCHE,"East Fork Birch Creek, Umatilla River",465.077.026,River,17070103,Umatilla,45.40142772,-118.7521701,"BIRCHE - East Fork Birch Creek, Umatilla River",Middle Columbia
BIRCHW,"West Fork Birch Creek, Umatilla River",465.077.026,River,17070103,Umatilla,45.37480631,-118.8689356,"BIRCHW - West Fork Birch Creek, Umatilla River",Middle Columbia
BLKBAS,"Blackberry Acc. Site, WF Hood River",273.020.014,Acclimation Pond,17070105,Middle Columbia-Hood,45.521133,-121.743672,"BLKBAS - Blackberry Acc. Site, WF Hood River",Middle Columbia
BLNDSL,Blind Slough Net Pens (Oregon side of Columbia River Estuary),47,Acclimation Pond,17080006,Lower Columbia,46.2029,-123.5445,BLNDSL - Blind Slough Net Pens (Oregon side of Columbia River Estuary),Lower Columbia
BLUEC,"Blue Creek, Klickitat River Basin",290.063.008.004,River,17070106,Klickitat,46.08502945,-120.9925134,"BLUEC - Blue Creek, Klickitat River Basin",Middle Columbia
BO1,Bonneville Dam PH1 (Archaic - replaced with generic BON designation),*,Archaic,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO1 - Bonneville Dam PH1 (Archaic - replaced with generic BON designation),Lower Columbia
BO1BYP,BON - Release into PH1 Juvenile Facility Bypass Flume/Pipe,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO1BYP - BON - Release into PH1 Juvenile Facility Bypass Flume/Pipe,Lower Columbia
BO1GWL,BON - Release into PH1 Gatewell(s),234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO1GWL - BON - Release into PH1 Gatewell(s),Lower Columbia
BO2,Bonneville Dam PH2 (Archaic - replaced with generic BON designation),*,Archaic,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2 - Bonneville Dam PH2 (Archaic - replaced with generic BON designation),Lower Columbia
BO2BCC,BON - Release into the PH2 Bypass Corner Collector,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2BCC - BON - Release into the PH2 Bypass Corner Collector,Lower Columbia
BO2BYP,BON - Release into the PH2 Juvenile Facility Bypass Flume/Pipe,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2BYP - BON - Release into the PH2 Juvenile Facility Bypass Flume/Pipe,Lower Columbia
BO2GAT,BON - Release into the PH2 Juvenile Facility Flume between the Separator Exit and the Primary PIT-Tag Diversion Gate,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2GAT - BON - Release into the PH2 Juvenile Facility Flume between the Separator Exit and the Primary PIT-Tag Diversion Gate,Lower Columbia
BO2GWL,BON - Release into PH2 Gatewell(s),234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2GWL - BON - Release into PH2 Gatewell(s),Lower Columbia
BO2ORI,BON - Release into PH2 Orifice(s),234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2ORI - BON - Release into PH2 Orifice(s),Lower Columbia
BO2RRR,BON - Release below the PH2 Juvenile Facility PIT-Tag Diversion System Gate with subsequent Return to the River,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BO2RRR - BON - Release below the PH2 Juvenile Facility PIT-Tag Diversion System Gate with subsequent Return to the River,Lower Columbia
BOBSC,"Bobs Creek, Potlatch River watershed",522.224.024.065.019,River,17060306,Clearwater,46.89639227,-116.3224023,"BOBSC - Bobs Creek, Potlatch River watershed",Clearwater
BOHANC,"Bohannon Creek, Lemhi River Basin",522.303.416.017,River,17060204,Lemhi,45.17033294,-113.7092761,"BOHANC - Bohannon Creek, Lemhi River Basin",Salmon
BOHEFC,"East Fork Bohannon Creek, Lemhi River Basin",522.303.416.017.007,River,17060204,Lemhi,45.17250657,-113.6660058,"BOHEFC - East Fork Bohannon Creek, Lemhi River Basin",Salmon
BON,Bonneville Dam Complex,234,Dam,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BON - Bonneville Dam Complex,Lower Columbia
BONAFF,BON - Adult Fish Facility,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BONAFF - BON - Adult Fish Facility,Lower Columbia
BONAPC,"Bonaparte Creek, Okanogan River Basin",858.092,River,17020006,Okanogan,48.66403146,-119.1760431,"BONAPC - Bonaparte Creek, Okanogan River Basin",Upper Columbia
BONH,Bonneville Hatchery,232.001,Hatchery,17080001,Lower Columbia-Sandy,45.63326801,-121.956828,BONH - Bonneville Hatchery,Lower Columbia
BONLD1,BON - Release into the Bradford Island Adult Fish Ladder,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BONLD1 - BON - Release into the Bradford Island Adult Fish Ladder,Lower Columbia
BONLD2,BON - Release into the Cascades Island Adult Fish Ladder,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BONLD2 - BON - Release into the Cascades Island Adult Fish Ladder,Lower Columbia
BONLD3,BON - Release into the Washington Shore Adult Fish Ladder,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BONLD3 - BON - Release into the Washington Shore Adult Fish Ladder,Lower Columbia
BONMRT,BON - Mortality Recovery,234,Intra-Dam Release Site,17080001,Lower Columbia-Sandy,45.64449137,-121.940726,BONMRT - BON - Mortality Recovery,Lower Columbia
BONP,Bonifer Springs Acclimation Pond,465.127.003,Acclimation Pond,17070103,Umatilla,45.68393615,-118.3636083,BONP - Bonifer Springs Acclimation Pond,Middle Columbia
BOSTCC,"Boston Canyon Creek, Umatilla River",465.127.003,River,17070103,Umatilla,45.65809896,-118.3351074,"BOSTCC - Boston Canyon Creek, Umatilla River",Middle Columbia
BOUL2C,"Boulder Creek, Little Salmon River watershed",522.303.140.029,River,17060210,Little Salmon,45.12996583,-116.4185164,"BOUL2C - Boulder Creek, Little Salmon River watershed",Salmon
BOUL3C,"Boulder Creek, Potlatch River watershed",522.224.024.041,River,17060306,Clearwater,46.71490688,-116.4432352,"BOUL3C - Boulder Creek, Potlatch River watershed",Clearwater
BOULDC,Boulder Creek,522.224.120.037.042,River,17060303,Lochsa,46.31864152,-115.2171565,BOULDC - Boulder Creek,Clearwater
BOUNDC,Boundary Creek,522.303.319.154,River,17060205,Upper Middle Fork Salmon,44.51322399,-115.3246217,BOUNDC - Boundary Creek,Salmon
BOUTRP,Boulder Creek Trap,522.224.120.037.042.001,Trap or Weir,17060303,Lochsa,46.336199,-115.3132635,BOUTRP - Boulder Creek Trap,Clearwater
BRAMYC,"Big Ramey Creek, Big Creek watershed, MF Salmon River",522.303.319.029.042,River,17060206,Lower Middle Fork Salmon,45.24575725,-115.1837702,"BRAMYC - Big Ramey Creek, Big Creek watershed, MF Salmon River",Salmon
BRDG2C,"Bridge Creek, Middle Fork John Day River",351.298.052.106,River,17070203,Middle Fork John Day,44.54670047,-118.5305289,"BRDG2C - Bridge Creek, Middle Fork John Day River",John Day
BRDG3C,Bridge Creek - tributary to Sanpoil River,981.04,River,17020004,Sanpoil,48.24523351,-118.5954502,BRDG3C - Bridge Creek - tributary to Sanpoil River,Upper Columbia
BREITR,"Breitenbush River, North Santiam River Basin",163.174.019.088,River,17090005,North Santiam,44.76798919,-122.0877345,"BREITR - Breitenbush River, North Santiam River Basin",Willamette
BRENNC,"Brennegan Creek, tributary to Entiat River",778.04,River,17020010,Upper Columbia-Entiat,47.91116936,-120.4178506,"BRENNC - Brennegan Creek, tributary to Entiat River",Upper Columbia
BRIDGC,"Bridge Creek, John Day River Basin",351.218,River,17070204,Lower John Day,44.59204493,-120.2054603,"BRIDGC - Bridge Creek, John Day River Basin",John Day
BRIDWB,"West Branch Bridge Creek, John Day River Basin",351.218.020,River,17070204,Lower John Day,44.55139606,-120.3163913,"BRIDWB - West Branch Bridge Creek, John Day River Basin",John Day
BRUS2C,"Brush Creek, Klickitat River Basin",290.063.008,River,17070106,Klickitat,46.12407693,-121.0062461,"BRUS2C - Brush Creek, Klickitat River Basin",Middle Columbia
BRUSHC,Brushy Fork Creek,522.224.120.037.113.011,River,17060303,Lochsa,46.61817914,-114.4611176,BRUSHC - Brushy Fork Creek,Clearwater
BSHEEC,Big Sheep Creek,522.308.032,River,17060102,Imnaha,45.35227761,-116.9469253,BSHEEC - Big Sheep Creek,Lower Snake
BTIMBC,"Big Timber Creek, Lemhi River Basin",522.303.416.089,River,17060204,Lemhi,44.56388384,-113.4013051,"BTIMBC - Big Timber Creek, Lemhi River Basin",Salmon
BUCK2C,"Buck Creek, Big Creek watershed, MF Salmon River",522.303.319.029.026,River,17060206,Lower Middle Fork Salmon,45.1052112,-115.0221598,"BUCK2C - Buck Creek, Big Creek watershed, MF Salmon River",Salmon
BUCK3C,"Buck Creek, White Salmon River Basin (WA)",271.008,River,17070105,Middle Columbia-Hood,45.8246902,-121.5514744,"BUCK3C - Buck Creek, White Salmon River Basin (WA)",Middle Columbia
BUCK4C,"Buck Creek, Lemhi River Basin",522.303.416.049.014.003,River,17060204,Lemhi,44.78357165,-113.8314125,"BUCK4C - Buck Creek, Lemhi River Basin",Salmon
BUCKC,"Buck Creek, Umatilla River",465.145.002,River,17070103,Umatilla,45.71278132,-118.1328064,"BUCKC - Buck Creek, Umatilla River",Middle Columbia
BUCKHC,"Buckhollow Creek, Deschutes River Basin",328.069,River,17070306,Lower Deschutes,45.17222377,-120.8166248,"BUCKHC - Buckhollow Creek, Deschutes River Basin",Deschutes
BURL,"Burley Creek Hatchery, Puget Sound",***,Hatchery,17110019,Puget Sound,47.44368402,-122.6303601,"BURL - Burley Creek Hatchery, Puget Sound",Puget Sound
BURNLC,Burnt Log Creek,522.303.215.060.024.024,River,17060208,South Fork Salmon,44.71576577,-115.4944354,BURNLC - Burnt Log Creek,Salmon
BUTCHC,"Butcher Creek, Umatilla River",465.127.034,River,17070103,Umatilla,45.46761653,-118.3616169,"BUTCHC - Butcher Creek, Umatilla River",Middle Columbia
BUTCHP,"Butcher Creek Acclimation Pond, Wenatchee River Basin",754.089.013,Acclimation Pond,17020011,Wenatchee,47.76954874,-120.8023502,"BUTCHP - Butcher Creek Acclimation Pond, Wenatchee River Basin",Upper Columbia
BVAL2C,"Bear Valley Creek, Lemhi River Basin",522.303.416.049.014,River,17060204,Lemhi,44.79531938,-113.7839432,"BVAL2C - Bear Valley Creek, Lemhi River Basin",Salmon
BVRLYI,"Beverly Islands, Columbia River below Wanapum Dam",666,Avian Colony,17020016,Upper Columbia-Priest Rapids,46.62945654,-119.8854096,"BVRLYI - Beverly Islands, Columbia River below Wanapum Dam",Upper Columbia
CABINC,"Cabin Creek, Big Creek watershed, MF Salmon River",522.303.319.029.019,River,17060206,Lower Middle Fork Salmon,45.18322967,-114.9105219,"CABINC - Cabin Creek, Big Creek watershed, MF Salmon River",Salmon
CABLNF,"North Fork Cable Creek, North Fork John Day River basin",351.298.089.027.011,River,17070202,North Fork John Day,45.05949874,-118.6949536,"CABLNF - North Fork Cable Creek, North Fork John Day River basin",John Day
CALAPR,Calapooia River,163.192,River,17090003,Upper Willamette,44.38130475,-122.925814,CALAPR - Calapooia River,Willamette
CAMASC,"Camas Creek, Middle Fork Salmon River",522.303.319.057,River,17060206,Lower Middle Fork Salmon,44.80691346,-114.4767055,"CAMASC - Camas Creek, Middle Fork Salmon River",Salmon
CAMP2C,"Camp Creek, Middle Fork John Day River",351.298.052.076,River,17070203,Middle Fork John Day,44.60671542,-118.8661621,"CAMP2C - Camp Creek, Middle Fork John Day River",John Day
CAMP3C,"Camp Creek, SF Salmon River",522.303.215.076,River,17060208,South Fork Salmon,44.89617166,-115.6636315,"CAMP3C - Camp Creek, SF Salmon River",Salmon
CAMP4C,"Camp Creek, tributary to Big Sheep Creek, Imnaha drainage",522.308.032.002,River,17060102,Imnaha,45.61292896,-116.9556782,"CAMP4C - Camp Creek, tributary to Big Sheep Creek, Imnaha drainage",Lower Snake
CAMPC,"Camp Creek, Umatilla River",465.127.018,River,17070103,Umatilla,45.5929936,-118.2891263,"CAMPC - Camp Creek, Umatilla River",Middle Columbia
CANALC,"Canal Creek, tributary to Little Sheep Creek, Imnaha drainage",522.308.032.005.039,River,17060102,Imnaha,45.25379005,-117.1117281,"CANALC - Canal Creek, tributary to Little Sheep Creek, Imnaha drainage",Lower Snake
CANDLC,"Candle Creek, tributary to the Metolius River",328.177.044,River,17070301,Upper Deschutes,44.58279181,-121.6741036,"CANDLC - Candle Creek, tributary to the Metolius River",Deschutes
CANY2C,"Canyon Creek, Lemhi River Basin",522.303.416.090,River,17060204,Lemhi,44.74912375,-113.2709822,"CANY2C - Canyon Creek, Lemhi River Basin",Salmon
CANY3C,"Canyon Creek, tributary to the Metolius River",328.177.055,River,17070301,Upper Deschutes,44.50229296,-121.743901,"CANY3C - Canyon Creek, tributary to the Metolius River",Deschutes
CANY4C,Canyon Creek - tributary to John Day River,351.392,River,17070201,Upper John Day,44.2508859,-118.9181707,CANY4C - Canyon Creek - tributary to John Day River,John Day
CANYOC,Canyon Creek,522.224.120.037.012,River,17060303,Lochsa,46.25667055,-115.5941029,CANYOC - Canyon Creek,Clearwater
CAPEHC,Capehorn Creek,522.303.319.170.010,River,17060205,Upper Middle Fork Salmon,44.35682643,-115.2196822,CAPEHC - Capehorn Creek,Salmon
CARMEC,Carmen Creek - tributary to Salmon River,522.303.408,River,17060203,Middle Salmon-Panther,45.30849844,-113.8042808,CARMEC - Carmen Creek - tributary to Salmon River,Salmon
CARP,Carlton Acclimation Pond,843.058,Acclimation Pond,17020008,Methow,48.343361,-120.08876,CARP - Carlton Acclimation Pond,Upper Columbia
